,business_id,price,business_name,immediate_categories,parent_categories
60,dAmVTQ6ukuLh4UxTmBoRkg,$$,Maha's,"Vegan, Egyptian, Sandwiches","Middle Eastern,Restaurants"
61,LBHbyID7tcaGszznHtnCrw,$$,JOEY Eaton Centre,"Canadian (New), Lounges","Bars,Restaurants"
62,4m_hApwQ054v3ue_OxFmGw,$$$,Patria,"Spanish, Tapas Bars, Wine Bars","Bars,Restaurants"
63,cQK9M2JAwETQnnBoYyua5A,$$,The Senator,"Canadian (New), Wine Bars, Breakfast & Brunch","Bars,Restaurants"
64,hDy-uY7Vy_TZdGBzw59lhA,$$,Saku Sushi,"Japanese, Sushi Bars",Restaurants
65,HUYEadSbGSQNHXFmT2Ujjw,$,Manpuku Japanese Eatery,"Japanese, Noodles",Restaurants
66,CN5nuUQod0f8g3oh99qq0w,$$,KINKA IZAKAYA ANNEX,"Japanese, Tapas/Small Plates, Pubs","Bars,Restaurants"
67,C8_zdU7zGLUK3uC4e5AepQ,$$,MeNami,"Japanese, Asian Fusion",Restaurants
68,Cp3YRVZojrCGeQS41Hf1pw,$,Pho Hung,Vietnamese,Restaurants
69,9Eghhu_LzEJgDKNgisf3rg,$$,Scaddabush Italian Kitchen & Bar,"Beer, Wine & Spirits, Wine Bars, Italian","Food,Bars,Restaurants"
70,Qa4eXuZ1IFPwnVXJcpZWtw,$$,Real Sports,"Canadian (New), Sports Bars","Bars,Restaurants"
71,oWTn2IzrprsRkPfULtjZtQ,$$,The Burger's Priest,Burgers,Restaurants
72,rxA9c0_XObabVL1WCTA4FA,$$,Sneaky Dee's,"Breakfast & Brunch, Tex-Mex, Bars","Nightlife,Restaurants"
73,nHFJtud7jWZhM9dHQ1eIRA,$,Buk Chang Dong Soon Tofu,Korean,Restaurants
74,piZ4JqJI5WTljJuQV7yZHQ,$$,KINTON RAMEN,"Noodles, Ramen","Japanese,Restaurants"
75,O_UC_izJXcAmkm6HlEyGSA,$$,Playa Cabana,"Bars, Mexican","Nightlife,Restaurants"
76,xaqW4NkmUCGRRjmLxiFJ6Q,$$,Muncheez,"Delis, Creperies",Restaurants
77,L3R7y3_tUKQlM9kor4-Ccw,$$,Jamie's Italian,Italian,Restaurants
78,_cjPEH9wXhKS-HQe_U3M4Q,$$$,Le Sélect Bistro,"Breakfast & Brunch, French, Coffee & Tea","Food,Restaurants"
79,QFPS9JBNdOOHVP0C3pSslw,$$,Earls Kitchen + Bar,"Canadian (New), Cocktail Bars","Bars,Restaurants"
80,A7waf6G3cvnLfAqKeLL8DA,$$$,Buca,Italian,Restaurants
81,fh8a_k9oslEDSHbmJLzUrQ,$,Kekou Gelato,"Desserts, Ice Cream & Frozen Yogurt",Food
82,_u1Bq7QsgMUXSMex8QHqLQ,$,Burrito Boyz,Mexican,Restaurants
83,O-b5osM0NO4f31dp6_DatQ,$$$,Nadege,"Macarons, Desserts, Patisserie/Cake Shop","Food,Specialty Food"
84,UDk7qUVIetK3Y3NuARguqg,$$,Banjara Indian Cuisine,Indian,Restaurants
85,OllK5_S-7svgSwbUfx1xYA,$$,King's Noodle Restaurant,"Barbeque, Chinese, Noodles",Restaurants
86,q5xrVJ4kivx_yEfJeOKNYQ,$$$,Bar Isabel,"Spanish, Tapas Bars",Restaurants
87,wNXw53wmePcf_V3rF18LUg,$$,Grazie Ristorante,Italian,Restaurants
88,YLc7Djf3GsC8IT84YkZMzw,$$,Sukhothai,"Noodles, Thai",Restaurants
89,jTZYireK6pnPb6Rni0jygw,$$,Wow Sushi,Sushi Bars,Restaurants
90,3uIXuw878fNjxZ2Li1diFg,$$,The Hogtown Vegan,Vegan,Restaurants
91,nu-DHeDtxnOW5vYj93dGPQ,$$,The Lakeview,"Canadian (New), Diners",Restaurants
92,mBOIef7a4hONEbSi_ai8Bw,$$,Beast Restaurant,"Canadian (New), Breakfast & Brunch",Restaurants
93,l-Zjik0MbpabQPv-nNp9YQ,$$,Sanremo Bakery,"Italian, Bakeries, Coffee & Tea","Food,Restaurants"
94,4MQaqhBUJCpghGukSWNq7w,$$,Loose Moose,"Canadian (New), Gastropubs, Sports Bars","Bars,Restaurants"
95,Uq-GOs9_IqweUsB5MdII9w,$$,Emma's Country Kitchen,"Comfort Food, Breakfast & Brunch, Bakeries","Food,Restaurants"
96,JG9UpsFR6hrqQqsKh_RyaQ,$$$,Planta Yorkville,"Tapas/Small Plates, Pizza, Cocktail Bars","Bars,Restaurants"
97,mzREMIknfmagJugibXrCsQ,$,Pho Tien Thanh,Vietnamese,Restaurants
98,J9BmILDpV1Pr3GKU9XhjTQ,$$,Little India Restaurant,"Buffets, Indian",Restaurants
99,mDA6_CDxdyQ-_qO5RHloow,$$,Marche Muvbox,Salad,Restaurants
100,ejKXczjEkm1gzyRdblQm8w,$$,Fresh on Spadina,"Vegan, Juice Bars & Smoothies, Burgers","Food,Restaurants"
101,eD-XLSo-j8uIoTnIlrG8YA,$,Juicy Dumpling,"Dumplings, Dim Sum","Chinese,Restaurants"
102,2Q89PhkcyT9uZnQORmqMKg,$$,House of Gourmet,Chinese,Restaurants
103,JOoblYsQjFT-47tkt6om0A,$$,7 West Cafe,"Breakfast & Brunch, Bars, Italian","Nightlife,Restaurants"
104,qaNt4vtVdge_S68DVjw5Jg,$$,The Queen And Beaver Public House,"Pubs, British","Bars,Restaurants"
105,hkZh4tAa2oJ34i8hxej6Zg,$$,The Gabardine,"Desserts, Breakfast & Brunch, Diners","Food,Restaurants"
106,ABRgXNwdOX_JyqChNr8IYw,$$,Swatow Restaurant,Chinese,Restaurants
107,SPj8L5VMep_OhkoNz-WLQg,$$$,The Chase,Seafood,Restaurants
108,tJcpzXzykNSLuzWwa1JQUw,$,Queen St Warehouse,"Comfort Food, Bars, American (Traditional)","Restaurants,Nightlife"
109,b4LmLgVdbhM-nc1IZc5Weg,$$$,Rodney's Oyster House,Seafood,Restaurants
110,RyDiwx4xD3Lx8sWHx1aFlQ,$$,Smoque N' Bones,Barbeque,Restaurants
111,saijdv-vXJrvsCfvr7SZOw,$$,Katsuya,"Japanese, Asian Fusion",Restaurants
112,YJ05ntGlszxACOD5zn1YjA,$$,The Burger's Priest,Burgers,Restaurants
113,CfxVkwEJk1NAqgqMSesLzA,$$$,KINKA IZAKAYA NORTH  YORK,"Japanese, Tapas/Small Plates, Pubs","Bars,Restaurants"
114,4DLsC4BTUoEqFGusetQVlQ,$$,La Carnita,Mexican,Restaurants
115,fQwB9Z98YEhkJit7c3z51A,$$$,The Carbon Bar,"Barbeque, Bars, American (Traditional)","Nightlife,Restaurants"
116,TR0-w6VoZDAdvFQiq7P2Ug,$,Millie Creperie,"Japanese, Desserts, Creperies","Food,Restaurants"
117,O66Zy8Y13VBm72ZDhS4fIg,$$$,Sassafraz,French,Restaurants
118,DizSoX0FqH_EvXSHW6wEIQ,$$,Le Petit Déjeuner,"Breakfast & Brunch, Belgian",Restaurants
119,1cGgVvEbuBlW2GDvJ112vA,$$$,Gyubee Japanese Grill - Markham,"Japanese, Barbeque",Restaurants
120,TFftsYkRIUtdo6ZhRwJ2lQ,$$,Terroni,"Pizza, Italian",Restaurants
121,jCzrbfboRc3D-9_Gr0Wm9w,$$,SongCook's,Korean,Restaurants
122,c35qzLN6ItDpVIoj2uQW4Q,$$,Ravi Soups,"Sandwiches, Soup",Restaurants
123,kGOr_D-LNpgZ2M9N8TT4QQ,$$$,La Société,French,Restaurants
124,BY0o4pOtNPKyTklTFXDJpg,$$,Dineen Coffee,Coffee & Tea,Food
125,GTwQgfi8DN23D9fMURYUdw,$$,Sushi Moto,"Wine Bars, Sushi Bars","Bars,Restaurants"
126,dp9haMgS5RZ6i1kQq_oS5A,$$,Fran's Restaurant,"Breakfast & Brunch, Diners, American (Traditional)",Restaurants
127,tvYID0arhN-shKGUrC1Wsg,$$$,Copacabana Brazilian Steak House,"Steakhouses, Brazilian",Restaurants
128,q9_gLvTNf11etVxbH7JY0Q,$$$$,Yasu,"Japanese, Sushi Bars",Restaurants
129,-ICGmF2qUVKdvOehVNgPbg,$$,Lamesa Filipino Kitchen,Filipino,Restaurants
130,zfQ855VX3SMA_54oVSN5Cw,$$,Fresco's Fish & Chips,"Chicken Wings, Fish & Chips, Sandwiches",Restaurants
131,35SEr0cPTuoBJ1DYQ686pA,$$,Katsuya,Japanese,Restaurants
132,8MWiywu09bhLWIpzVaD4gw,$$,Aunties & Uncles,Breakfast & Brunch,Restaurants
133,iMoFE2g4kDG4FfKLJvk3Jw,$,Buk Chang Dong Soon Tofu,Korean,Restaurants
134,fNc1WuGwiT7RhqXUIe4S8A,$$,Sabai Sabai Kitchen and Bar,"Thai, Bars, Laotian","Nightlife,Restaurants"
135,uthbVCNZqmExJTzhII9iNQ,$$,Paramount Middle Eastern Kitchen,Middle Eastern,Restaurants
136,5aeOewSy4RiI8sLLWpeNGA,$$,Pablo Cheesetart Canada,Desserts,Food
137,fJ-2acaqvWOsujUTAJB-ew,$$,Raijin Ramen,"Noodles, Soup, Ramen","Japanese,Restaurants"
138,9ot8oInkYZTt6wkkGe__vQ,$$$,Auberge du Pommier,French,Restaurants
139,BYDs_o6U4CLxJec8k1Q90Q,$$,Poke Guys,"Poke, Hawaiian","Food,Restaurants"
140,hlrZHM4D48XiQtXh6cRg_w,$$,The Old Spaghetti Factory,Italian,Restaurants
141,lyIHmlIK7PKwQeGyR8svJQ,$$,Cafe Crepe,"Breakfast & Brunch, Creperies, Coffee & Tea","Food,Restaurants"
142,Orgm9nmcClxnAUva4nOKyA,$$,Hothouse,"Bars, Italian, Venues & Event Spaces","Event Planning & Services,Nightlife,Restaurants"
143,cPXasVLtq_1gmuSg65TUfQ,$$,Dragon Pearl Buffet,"Buffets, Chinese",Restaurants
144,bRntmjztJ4dFDA_LYiEECw,$$,Snakes & Lattes Annex,"Cafes, Bars","Restaurants,Nightlife"
145,WKOUTdVJS58E178JjhwidQ,$$,Pastel Creperies & Dessert House,"Desserts, Creperies, Coffee & Tea","Food,Restaurants"
146,tzl4KHt6ZAwyUJIEyemrtQ,$$,Smith Bros.,"Steakhouses, Bars","Nightlife,Restaurants"
147,Bf2fuqWbHd3L-X69FSMvmg,$$,El Trompo Taco Bar,Mexican,Restaurants
148,lDpVyjENOz_qbxbRoyBi8w,$,Black Camel,Sandwiches,Restaurants
149,D-8yidw7FLKKQpciKJSd2g,$$,The Burgernator,Burgers,Restaurants
150,uF86ZhygpBEGr3CudNemYA,$$$,O.Noir,Canadian (New),Restaurants
151,-J6FVdY9pSgAdFmmalO-pQ,$$,Jatujak,"Thai, Food Delivery Services","Food,Restaurants"
152,dw2ST-AHUbu2xq0QNfngBA,$$,JOEY Don Mills,"Canadian (New), Lounges","Bars,Restaurants"
153,xwmwTpzw9XSwK-UT5Ka3HQ,$$,Bellwoods Brewery,"Canadian (New), Breweries","Food,Restaurants"
154,sXg2NCfiCqK_X_4R5NK_jQ,$$$,BarChef,"Lounges, Cocktail Bars",Bars
155,QNfh79NwsNnl-AngRhg2ww,$$,Kingyo,"Japanese, Tapas/Small Plates",Restaurants
156,VA95qAV2PRH9gtTi2Vfv4Q,$$,Trattoria Nervosa,"Salad, Pizza, Italian",Restaurants
157,9tfw-OEfpF0qC2hSzRks6g,$$,Hair of the Dog,"Pubs, Comfort Food, Breakfast & Brunch","Bars,Restaurants"
158,fN_I3jP7RD2llubTvhXtKQ,$$,Good Fork,Canadian (New),Restaurants
159,ICFYlS9nwsoAyaiRXMu9tQ,$$,Fuwa Fuwa Japanese Pancakes,"Desserts, Breakfast & Brunch, Coffee & Tea","Food,Restaurants"
160,5nyKUHibR4GCs6ojVljFdA,$$,Spring Sushi,"Japanese, Asian Fusion, Thai",Restaurants
161,Pthcdg09sHQ9M9Tj5P9gfQ,$$,C'est What,"Canadian (New), Music Venues, Breweries","Arts & Entertainment,Food,Restaurants,Nightlife"
162,RqOgBMpKYdsEOmBVmFXe3g,$$,Ryus Noodle Bar,Ramen,Japanese
163,1_rqZz1K5Uoq2RvZlINfgA,$$,Cho Sun Ok,Korean,Restaurants
164,67Pa_CtXthgJzXfY8JzLDQ,$$,Holy Chuck,Burgers,Restaurants
165,g6AFW-zY0wDvBl9U82g4zg,$,Baretto Caffe,"Cafes, Italian",Restaurants
166,FML0YqZ7dLBBC3Suap4_4Q,$$,416 Snack Bar,"Tapas/Small Plates, Bars","Nightlife,Restaurants"
167,j0aiaJkrU-5VgbCsdx-txg,$$,Chris Jerk Caribbean Bistro,Caribbean,Restaurants
168,uChTCA6MsLAciDRklpO-Fw,$$,Makkal Chon,Korean,Restaurants
169,c6f8wBjPLDzyubEBqgcMnw,$$,Fahrenheit Coffee,Coffee & Tea,Food
170,wpQsmMvdhefqIlxvRt_Jbg,$$,DonDon Izakaya,"Japanese, Tapas Bars",Restaurants
171,5N8R7ALESZ30EoAzVJtabw,$$,The Dirty Bird Chicken + Waffles,"Chicken Shop, Burgers, Waffles",Restaurants
172,m3U4Pey_Yr0jgJb8MHfy5g,$,Rasta Pasta,Caribbean,Restaurants
173,qvxpoQE5qwbZpuSGJzLK4Q,$$,iHalo Krunch,Ice Cream & Frozen Yogurt,Food
174,ZDDzKXN_JXe7694zePRuTQ,$$,Chatime - Dundas,Coffee & Tea,Food
175,SxvKjtbq5qRlFoXrU8Bo9Q,$$,Descendant Detroit Style Pizza,Pizza,Restaurants
176,g3t2AQQVT2tWD64Huu7xVA,,Royal Ontario Museum,Museums,Arts & Entertainment
177,-OxDX2fPQLYi6ChW2Z6xxQ,$$,Fresh On Bloor,"Vegan, Juice Bars & Smoothies, Salad","Food,Restaurants"
178,RrqcZLX05djKo1GVLMXMDQ,$$,Korean Village Restaurant,Korean,Restaurants
179,tCjlXROlbcaGiBRfU2jaiw,$$$,The Keg Steakhouse + Bar - Mansion,"Steakhouses, Seafood, Bars","Nightlife,Restaurants"
180,oKZPgeCOxnVSxudYcn1OtQ,$$$,Cibo Wine Bar,"Wine Bars, Italian","Bars,Restaurants"
181,bYGn37k0KgleABKMWgjnMw,$,El Furniture Warehouse - Bloor St,"Comfort Food, Bars, American (Traditional)","Nightlife,Restaurants"
182,fqBnZxSkG287OOyU9LvTig,$$,Bar Hop,Bars,Nightlife
183,GcxE5hK_TaHP4EZFDYz2mg,$$$,Copacabana Brazilian Steakhouse,"Steakhouses, Brazilian",Restaurants
184,C6vH0qzmcerMkiJy3VO9qA,$$$,Estiatorio VOLOS,"Greek, Mediterranean, Seafood",Restaurants
185,8I2XBrjf4rOEWx7pnKpVeg,$$,Kub Khao Thai Eatery,Thai,Restaurants
186,pOEL97ld-FJMKO8Ki8JmYg,$$,Oliver & Bonacini Café Grill,Italian,Restaurants
187,Mksyt1TZQ-7vzCZjeuzfAg,$$,CASA manila Restaurant,Filipino,Restaurants
188,eZaCQPZYmETSNiHRagNu2g,$$,Wanda's Pie In The Sky,"Desserts, Bakeries, Coffee & Tea",Food
189,KS_d3F_eIA6iTo6Wtj2O_w,$$,Smoke's Poutinerie,"Fast Food, Poutineries",Restaurants
190,OIdOJaNS8M624F58XGV3PQ,$$,Pizzeria Libretto Danforth,"Pizza, Italian",Restaurants
191,Jo3Cpvf8fpfcAIFG3TagbQ,$$,Pantheon Restaurant,"Greek, Mediterranean",Restaurants
192,xFkUn2tIJY0vkcm1Hl5m_A,$$,Wahlburgers,"Burgers, American (Traditional)",Restaurants
193,d6G0w_e3GaA90NSQeovShA,$$,Pho Rua Vang Golden Turtle,Vietnamese,Restaurants
194,3glVZZh_vyZH1VvPU0307A,$$$,Enoteca Sociale,Italian,Restaurants
195,s4c_f9WwcolJTNitq2gWpQ,,Casa Loma,Museums,Arts & Entertainment
196,c78Pat78fVUBFPXYeVvbaQ,$$,Odd Seoul,"Dive Bars, Asian Fusion, Korean","Bars,Restaurants"
197,7v91woy8IpLrqXsRvxj_vw,$$,Old School,"Breakfast & Brunch, American (Traditional)",Restaurants
198,A5lD3y2eREchEdMcvWPXBA,$$,Yin Ji Chang Fen,Chinese,Restaurants
199,XT25YpQoNDuzAZHur-HZ8g,$$,Pizzeria Libretto,"Pizza, Italian",Restaurants
200,i1Xkm22_96GNVVOXSUoL0A,$$$,The Captain's Boil,"Cajun/Creole, Asian Fusion, Seafood",Restaurants
201,28adZ4lsuUeVB2aWzohK9g,$$,Prohibition Gastrohouse - Queen,"Bars, American (Traditional)","Restaurants,Nightlife"
202,PUneCUDGvdgnay3uvI89fA,$,Sushi Bong,"Japanese, Sushi Bars",Restaurants
203,XtJbDZODXi3mXHLoScGtwg,$$,Piggy's,"Barbeque, Korean, Soup",Restaurants
204,5r6-G9C4YLbC7Ziz57l3rQ,$,Poutini's House of Poutine,"Fast Food, Poutineries",Restaurants
205,RADloW1UROUn4FJFU4JJNg,$$,Buster's Sea Cove,Seafood,Restaurants
206,2auigv5pF08RjJ8CL1dIVw,$$,O&B Canteen,"Comfort Food, Breakfast & Brunch, Sandwiches",Restaurants
207,bsFZnc2mYyGy5cFf5EWTWg,$$,Aji Sai Japanese Restaurant,Japanese,Restaurants
208,ALkOqlWODyxPg5VSp0HLrg,$$$,Zakkushi On Carlton,Japanese,Restaurants
209,lOKgoQtMhnlf6hWvrOiMtQ,$$,JOEY Yorkdale,"Canadian (New), Lounges","Bars,Restaurants"
210,_Gv5HPQBM3fzI9bOUYFYuw,$$,The House On Parliament,"Gastropubs, British",Restaurants
211,SCklYa_jhihWAcfIn-_chg,$$,Bonjour Brioche,"Breakfast & Brunch, French",Restaurants
212,769NudnrUxWFtJCGU66A_A,$$,Thompson Diner,"Canadian (New), Breakfast & Brunch",Restaurants
213,Yv4P4qUwd7F-qQ4Y4eD1JQ,$$,Han Ba Tang,"Korean, Bars","Nightlife,Restaurants"
214,_T7f2wUgNlJqxsR-cR89SQ,$$$$,Scaramouche Restaurant Pasta Bar & Grill,"Bars, French","Nightlife,Restaurants"
215,o6Yor6ofIw2TqM3mN28Kzg,$,Tacos El Asador,"Latin American, Mexican",Restaurants
216,3xUoXuEgJhHlSgBsSfKeCQ,$$,W Burger Bar,"Burgers, Breakfast & Brunch, Bars","Nightlife,Restaurants"
217,4twpbw7n4DmsLxAm6-sMkg,$,Seor Ak San,Korean,Restaurants
218,j_hB9Gt3VMJAbA2JyvyFjw,$$,Wish,"Canadian (New), Lounges, Breakfast & Brunch","Bars,Restaurants"
219,s-YJpfR-LFRnH7qYVFuJuw,$$,Touhenboku Ramen Restaurant,"Desserts, Ramen","Japanese,Food"
220,ovnqQaQ8BsPgDoJ4nlYBUw,$,Bakerbots Baking,"Desserts, Ice Cream & Frozen Yogurt, Bakeries",Food
221,59c3Cp-p5i18xFCKUuCkFQ,$$,La Vecchia Ristorante,"Seafood, Italian, Venues & Event Spaces","Event Planning & Services,Restaurants"
222,cFyXbPxTAwKRlIqe-XLMcw,$$,STACK,Barbeque,Restaurants
223,XOkqRJBS6HwTVlrCACAZFw,$$,Queen Mother Cafe,"Asian Fusion, Thai",Restaurants
224,L-Yj3Y1bYKTSg4uE9KTVBw,$$,Adamson Barbecue,Barbeque,Restaurants
225,A7_Rhwhi5Xv_PvBbKGJ_ng,$$,Pho Metro,Vietnamese,Restaurants
226,UYop9KYT-_mJsc2bcH83jw,$$,The Pickle Barrel,Canadian (New),Restaurants
227,d4P7boUqiA2pR59jOlzYLA,$$,Assembly Chef's Hall,Food Court,Restaurants
228,fK1oj0dk9Bc6KsBk5mMDxg,$$,Playa Cabana Cantina,Mexican,Restaurants
229,F-bdXFkJwwENiNpMTG2ntQ,$$,The 3 Brewers,"Pubs, Breweries","Food,Bars"
230,vx2T3IspTj6Opxjn95xWRA,$$,Portland Variety,"Cafes, Bakeries, Tapas/Small Plates","Food,Restaurants"
231,U4iqELk1IiqARpk5uJJOZg,$$,Eva's Original Chimneys,"Desserts, Ice Cream & Frozen Yogurt, Bakeries",Food
232,EEIz44ewHhOKmfTloAK13g,$$$$,Alo Restaurant,"Bars, French","Restaurants,Nightlife"
233,exysqt4RqxkF9I8Z2NEUsQ,$$,King Taps,"Canadian (New), Lounges, Breakfast & Brunch","Bars,Restaurants"
234,KrwGJBrSE3kN721yx-MzfQ,$$,KINTON RAMEN,Ramen,Japanese
235,7ODXq--HE7QpzvWwgk5rMA,$$$,Barberian's Steak House,Steakhouses,Restaurants
236,3uOxuJUnx72b86-3NKhX0A,$$,Kyoto House Japanese Restaurant,Japanese,Restaurants
237,fpuyZ31OpX11UlJGFWKoNw,$$,Ramona's Kitchen,"Breakfast & Brunch, American (Traditional)",Restaurants
238,sePTDv1dGHPID7kwuNzXaA,$,Sam's Congee Delight,Chinese,Restaurants
239,QF4tRJ-ot7dYwebAsn0seg,$$,Mengrai Thai,"Noodles, Thai",Restaurants
240,0-k_-9YoWXpmtiaLdKeQJQ,$$,The Rec Room,"Canadian (New), Arcades, Bars","Arts & Entertainment,Restaurants,Nightlife"
